"segment","section","dashboard_name","match_status","score","picked","entity","scenario","view","account","flow","origin","cons","ud1","ud2","ud3","ud4","ud5","ud6","ud7","ud8","candidate_count"
"th-cus","flowthrough","Total Flowthrough","MATCHED","64","TH C&US - Brand Adjusted EBITDA - LOB_TotalEBITDA_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","Brand Adjusted EBITDA","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","172"
"th-cus","flowthrough","AOI Growth","MATCHED","64","TH C&US - Brand Adjusted EBITDA - LOB_TotalEBITDA_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","Brand Adjusted EBITDA","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","172"
"th-cus","flowthrough","Check","MATCHED","64","TH C&US - Brand Adjusted EBITDA - LOB_TotalEBITDA_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","Brand Adjusted EBITDA","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","172"
"th-cus","pnl","FZ Sales","MATCHED","124","FZ Sales - TotalFzAndOASales - Franchise_FPA","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","YTD","TotalFzAndOASales","Top","Top","Aggregated","Franchise_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","203"
"th-cus","pnl","Royalty Rate %","MATCHED","54","TH C&US - Brand Adjusted EBITDA - LOB_TotalEBITDA_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","Brand Adjusted EBITDA","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","172"
"th-cus","pnl","Royalties","MATCHED","124","Royalties - RoyaltiesNet - Franchise_FPA","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","YTD","RoyaltiesNet","Top","Top","Aggregated","Franchise_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","203"
"th-cus","pnl","FZ & Successor Fees","MATCHED","54","TH C&US - Brand Adjusted EBITDA - LOB_TotalEBITDA_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","Brand Adjusted EBITDA","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","172"
"th-cus","pnl","Amortized Fees","MATCHED","124","Amortized Fees - Amortized Fees_FPA - Franchise_FPA","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","YTD","Amortized Fees_FPA","Top","Top","Aggregated","Franchise_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","203"
"th-cus","pnl","Unamortized Fees","MATCHED","124","Unamortized Fees - Unamortized Fees_FPA - Franchise_FPA","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","YTD","Unamortized Fees_FPA","Top","Top","Aggregated","Franchise_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","203"
"th-cus","pnl","Total Franchise Revenue","MATCHED","54","TH C&US - Brand Adjusted EBITDA - LOB_TotalEBITDA_FPA","RestaurantBrandsIntlMNGT","Actual","YTD","Brand Adjusted EBITDA","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","TH C&US","FPA_Reporting","Top","Top","Top","Top","172"
